Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,Mortgage rate,Prime rate,House Price Index (Level),Commercial Real Estate Price Index (Level),Loans to individuals,Credit cards,Other loans to individuals,Interest-bearing deposits,Noninterest-bearing deposits,Time deposits
1984Q1,8.1,12.5,7.9,12.7,7.9,5.8,9.2,11.7,11.9,13.3,11.1,49.0,90.5,"261,504","46,521","214,984","1,860,467","363,956","1,242,574"
1984Q2,7.1,10.8,6.6,10.8,7.4,3.8,9.8,13.0,13.2,14.0,12.3,49.6,91.4,"277,997","51,159","226,839","1,921,613","379,300","1,306,506"
1984Q3,3.9,7.7,5.3,8.6,7.4,3.5,10.3,12.8,12.9,14.5,13.0,50.3,92.0,"293,062","56,645","236,417","1,964,713","364,125","1,370,983"
1984Q4,3.3,6.4,3.4,5.9,7.3,3.5,8.8,11.5,11.8,13.6,11.8,50.7,92.5,"311,074","64,110","246,963","2,043,037","421,536","1,407,295"
1985Q1,3.9,8.1,-1.0,3.8,7.2,3.7,8.2,11.3,11.6,13.1,10.5,51.3,93.2,"319,656","67,028","252,628","2,086,014","371,462","1,413,727"
1985Q2,3.6,6.3,8.2,11.8,7.3,3.7,7.5,10.5,10.9,12.8,10.2,52.4,93.4,"336,395","71,279","265,116","2,124,432","400,009","1,427,994"
1985Q3,6.3,8.8,-1.1,2.0,7.2,2.5,7.1,10.0,10.5,12.1,9.5,52.9,93.9,"352,401","75,943","276,458","2,162,307","424,541","1,443,518"
1985Q4,3.0,5.3,4.5,7.4,7.0,4.1,7.2,9.4,10.0,11.7,9.5,53.9,92.3,"366,687","83,691","282,996","2,216,165","460,092","1,470,308"
1986Q1,3.8,5.9,5.5,8.6,7.0,2.1,6.9,8.4,8.8,10.6,9.4,55.0,94.1,"367,785","85,172","282,613","2,394,640","430,845","1,495,136"
1986Q2,1.8,3.4,5.1,4.7,7.2,-1.9,6.1,7.7,7.9,10.2,8.6,56.1,95.9,"379,488","89,240","290,247","2,422,642","461,751","1,481,060"
1986Q3,3.9,5.6,2.2,4.4,7.0,2.5,5.5,7.3,7.7,10.2,7.9,57.4,97.3,"388,343","93,406","294,937","2,465,240","438,972","1,481,717"
1986Q4,2.2,4.4,0.1,2.5,6.8,2.8,5.4,7.0,7.6,9.7,7.5,58.3,98.7,"399,807","100,243","299,564","2,523,786","525,642","1,468,073"
1987Q1,3.0,5.7,3.0,6.9,6.6,4.9,5.5,6.9,7.4,9.1,7.5,60.2,100.6,"393,450","98,217","295,233","2,541,469","453,219","1,464,598"
1987Q2,4.4,7.3,-4.1,-0.3,6.3,4.6,5.7,8.1,8.5,10.3,8.0,61.6,102.6,"400,037","101,197","298,840","2,557,978","463,571","1,488,839"
1987Q3,3.5,6.7,7.4,11.5,6.0,4.3,6.0,8.5,9.0,10.5,8.4,62.9,103.2,"409,770","106,556","303,214","2,587,454","441,952","1,532,546"
1987Q4,7.0,10.5,5.9,9.6,5.8,3.8,5.9,8.8,9.2,10.9,8.9,64.2,103.8,"421,085","115,394","305,691","2,658,460","469,868","1,601,819"
1988Q1,2.1,5.3,6.7,10.2,5.7,3.2,5.7,8.0,8.6,10.1,8.6,65.2,104.9,"421,420","115,247","306,173","2,722,063","431,125","1,652,078"
1988Q2,5.4,9.5,4.7,9.4,5.5,4.7,6.2,8.5,9.0,10.4,8.8,66.8,106.1,"426,618","112,386","314,232","2,750,867","455,636","1,675,666"
1988Q3,2.4,7.3,4.1,9.4,5.5,5.0,7.0,8.8,9.2,10.5,9.7,68.7,106.4,"435,898","116,462","319,437","2,793,229","444,025","1,732,983"
1988Q4,5.4,9.1,3.9,8.1,5.3,4.4,7.7,8.8,9.0,10.4,10.2,70.4,106.6,"446,091","125,989","320,102","2,834,170","473,862","1,767,537"
1989Q1,4.1,8.5,4.4,9.3,5.2,4.6,8.5,9.4,9.3,10.8,11.0,71.9,107.6,"434,787","120,319","314,468","2,785,392","433,267","1,765,947"
1989Q2,3.1,7.6,-1.3,4.1,5.2,6.6,8.4,8.9,8.9,10.6,11.4,73.0,108.6,"441,460","123,382","318,078","2,772,948","464,825","1,805,635"
1989Q3,3.0,6.0,2.7,5.1,5.2,3.2,7.8,8.1,8.2,10.0,10.7,74.0,109.0,"449,517","127,815","321,702","2,795,330","452,121","1,816,157"
1989Q4,0.8,3.7,3.5,6.8,5.4,4.1,7.7,8.0,8.0,9.8,10.5,74.9,109.4,"459,490","138,768","320,722","2,826,880","492,520","1,810,784"
1990Q1,4.4,9.0,3.3,9.4,5.3,7.1,7.8,8.5,8.5,10.1,10.0,76.0,108.4,"442,333","129,866","312,445","2,798,154","445,738","1,772,567"
1990Q2,1.5,6.1,3.0,6.8,5.3,4.0,7.7,8.7,8.8,10.3,10.0,76.0,107.5,"443,299","130,070","313,226","2,809,290","460,890","1,786,709"
1990Q3,0.3,3.7,0.1,5.2,5.7,7.1,7.5,8.5,8.8,10.1,10.0,75.9,107.0,"451,328","135,659","315,668","2,829,655","452,018","1,803,288"
1990Q4,-3.6,-0.7,-3.2,2.1,6.1,7.0,7.0,8.1,8.5,10.0,10.0,75.5,106.6,"451,447","141,936","309,511","2,846,326","497,621","1,798,307"
1991Q1,-1.9,2.0,1.2,3.4,6.6,3.0,6.0,7.7,8.2,9.5,9.2,74.9,105.6,"435,675","137,267","298,408","2,835,553","427,684","1,763,864"
1991Q2,3.2,6.2,3.0,5.3,6.8,2.4,5.6,7.8,8.3,9.5,8.7,75.5,104.6,"430,375","138,210","292,165","2,804,986","454,615","1,706,710"
1991Q3,2.0,5.3,1.5,4.3,6.9,3.1,5.4,7.5,8.1,9.3,8.4,75.2,101.0,"428,091","139,508","288,583","2,805,946","475,202","1,679,960"
1991Q4,1.4,3.8,3.2,6.2,7.1,3.4,4.5,6.7,7.5,8.7,7.6,75.0,97.6,"432,550","147,499","285,051","2,797,918","491,843","1,613,052"
1992Q1,4.9,6.4,7.9,10.7,7.4,2.7,3.9,6.7,7.5,8.7,6.5,75.2,95.4,"417,228","137,419","279,809","2,781,541","483,989","1,534,807"
1992Q2,4.4,6.9,3.8,6.6,7.6,3.1,3.7,6.7,7.5,8.7,6.5,75.0,93.2,"416,354","137,785","278,569","2,733,476","496,920","1,467,776"
1992Q3,4.0,6.1,1.7,4.4,7.6,3.1,3.1,5.7,6.9,8.0,6.0,74.9,90.7,"418,684","138,117","280,567","2,691,942","501,132","1,404,154"
1992Q4,4.2,7.1,1.8,4.7,7.4,3.6,3.1,6.0,7.0,8.2,6.0,75.2,88.3,"422,461","146,074","276,388","2,685,640","554,650","1,337,713"
1993Q1,0.7,2.9,1.5,4.0,7.1,2.9,3.0,5.5,6.5,7.8,6.0,75.4,87.4,"418,188","141,352","276,836","2,653,745","498,309","1,287,128"
1993Q2,2.3,4.8,1.3,4.0,7.1,2.9,3.0,5.2,6.2,7.5,6.0,75.7,86.5,"427,410","147,802","279,608","2,619,994","536,232","1,260,218"
1993Q3,1.9,4.4,0.3,2.1,6.8,1.9,3.0,5.0,5.8,7.1,6.0,76.3,86.4,"440,566","152,569","287,997","2,608,516","545,899","1,236,837"
1993Q4,5.6,7.9,2.8,5.2,6.6,3.4,3.1,5.0,5.8,7.0,6.0,77.0,86.4,"457,540","164,742","292,798","2,615,341","583,177","1,219,263"
1994Q1,3.9,5.9,2.6,4.1,6.6,2.0,3.3,5.5,6.2,7.3,6.0,77.2,87.4,"459,655","160,788","298,867","2,608,672","558,764","1,205,898"
1994Q2,5.5,7.6,4.1,6.4,6.2,2.3,4.0,6.7,7.2,8.4,6.9,77.7,88.4,"477,592","169,018","308,575","2,589,505","556,001","1,212,332"
1994Q3,2.4,4.7,2.4,5.3,6.0,3.8,4.5,6.9,7.4,8.6,7.5,78.0,89.3,"500,634","179,802","320,832","2,587,632","550,314","1,238,598"
1994Q4,4.7,7.0,5.9,7.9,5.6,2.3,5.3,7.6,7.9,9.1,8.1,78.4,90.4,"527,282","197,520","329,762","2,597,589","582,116","1,276,142"
1995Q1,1.4,3.6,3.4,5.5,5.5,3.0,5.7,7.4,7.6,8.8,8.8,78.6,90.6,"529,236","194,111","335,125","2,626,516","538,307","1,354,267"
1995Q2,1.2,3.2,1.1,3.5,5.7,3.3,5.6,6.4,6.7,7.9,9.0,79.1,90.5,"543,369","201,912","341,457","2,640,190","572,178","1,389,343"
1995Q3,3.4,5.5,3.7,5.4,5.7,2.0,5.4,6.1,6.5,7.7,8.8,79.9,91.2,"560,330","210,432","349,898","2,657,027","567,195","1,404,187"
1995Q4,2.7,4.7,2.3,4.1,5.6,2.2,5.3,5.7,6.0,7.3,8.7,80.3,92.1,"578,282","226,976","351,306","2,693,159","622,229","1,410,383"
1996Q1,3.0,5.0,3.8,6.1,5.5,3.6,4.9,5.6,6.0,7.3,8.3,80.9,92.5,"568,164","214,500","353,664","2,722,534","583,556","1,434,888"
1996Q2,6.8,8.6,3.7,6.5,5.5,3.5,5.0,6.5,6.8,8.1,8.3,81.5,92.7,"582,842","222,459","360,383","2,712,988","614,077","1,442,498"
1996Q3,3.6,5.0,3.2,4.9,5.3,2.3,5.1,6.5,6.8,8.1,8.3,82.0,91.9,"597,204","230,799","366,405","2,733,662","641,493","1,467,951"
1996Q4,4.2,6.5,2.0,4.8,5.3,3.5,5.0,6.1,6.4,7.7,8.3,82.5,97.4,"611,030","245,791","365,240","2,777,872","673,610","1,481,856"
1997Q1,2.6,5.1,3.7,5.6,5.2,2.5,5.1,6.4,6.6,7.8,8.3,83.2,105.0,"593,571","230,621","362,950","2,800,877","643,762","1,494,336"
1997Q2,6.8,7.7,3.5,4.5,5.0,0.9,5.0,6.6,6.8,7.9,8.5,84.0,105.0,"607,920","240,033","367,887","2,816,629","677,661","1,516,403"
1997Q3,5.1,6.9,4.8,5.9,4.9,2.0,5.0,6.1,6.4,7.5,8.5,85.0,108.9,"606,954","235,495","371,458","2,863,267","641,045","1,549,451"
1997Q4,3.5,4.8,6.0,7.4,4.7,2.2,5.1,5.9,6.0,7.2,8.5,86.3,118.6,"612,704","246,218","366,486","2,911,027","688,578","1,556,872"
1998Q1,4.1,4.7,8.8,8.8,4.6,0.8,5.1,5.6,5.7,7.1,8.5,88.1,120.7,"593,066","225,649","367,417","2,967,309","679,513","1,576,481"
1998Q2,3.8,4.7,5.7,6.5,4.4,1.3,5.0,5.6,5.8,7.1,8.5,89.2,125.5,"599,714","231,067","368,647","2,955,713","704,604","1,557,533"
1998Q3,5.1,6.9,4.0,5.3,4.5,2.1,4.8,5.2,5.4,6.9,8.5,90.8,125.3,"609,044","230,351","378,693","2,979,515","669,007","1,555,918"
1998Q4,6.6,7.8,3.0,4.1,4.4,1.9,4.3,4.6,4.9,6.8,7.9,92.5,127.8,"623,659","241,795","381,864","3,076,552","737,674","1,570,185"
1999Q1,3.8,5.2,4.3,5.2,4.3,1.5,4.4,5.0,5.4,6.9,7.8,93.9,123.8,"602,759","220,446","382,312","3,079,916","681,851","1,555,152"
1999Q2,3.4,5.0,0.3,2.6,4.3,3.0,4.5,5.5,5.8,7.2,7.8,95.8,123.8,"592,147","205,833","386,313","3,064,280","721,609","1,546,840"
1999Q3,5.4,6.9,2.9,5.1,4.2,3.0,4.7,5.9,6.2,7.8,8.1,97.7,129.4,"591,201","202,873","388,328","3,101,438","701,028","1,576,411"
1999Q4,6.7,9.1,5.3,7.9,4.1,3.0,5.0,6.1,6.5,7.8,8.4,99.8,131.6,"617,661","227,497","390,165","3,165,893","716,557","1,619,610"
2000Q1,1.5,4.2,7.2,10.7,4.0,4.0,5.5,6.6,6.7,8.3,8.7,102.3,125.1,"616,339","222,687","393,653","3,227,808","722,924","1,654,226"
2000Q2,7.5,10.2,4.8,6.8,3.9,3.2,5.7,6.5,6.4,8.3,9.2,104.9,133.9,"630,983","234,557","396,426","3,270,897","733,552","1,708,930"
2000Q3,0.4,2.8,5.4,8.1,4.0,3.7,6.0,6.1,6.1,8.0,9.5,107.2,142.6,"647,517","245,032","402,485","3,332,643","722,281","1,749,967"
2000Q4,2.4,4.6,2.7,5.1,3.9,2.9,6.0,5.6,5.8,7.6,9.5,109.6,145.5,"671,887","265,984","405,903","3,437,094","771,000","1,784,102"
2001Q1,-1.3,1.3,3.2,6.3,4.2,3.9,4.8,4.9,5.3,7.0,8.6,112.2,144.4,"663,193","233,008","430,184","3,533,743","743,571","1,787,971"
2001Q2,2.5,5.0,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.1,7.3,114.2,145.0,"675,790","242,392","433,398","3,565,476","772,463","1,776,643"
2001Q3,-1.6,0.0,9.5,9.7,4.8,1.1,3.2,4.6,5.3,7.0,6.6,116.4,146.0,"676,467","235,013","441,454","3,606,681","795,617","1,752,551"
2001Q4,1.1,2.4,-6.5,-6.3,5.5,-0.3,1.9,4.2,5.1,6.8,5.2,118.3,138.6,"700,557","249,866","450,691","3,665,102","894,809","1,685,937"
2002Q1,3.4,4.7,9.9,10.8,5.7,1.3,1.7,4.5,5.4,7.0,4.8,120.4,142.9,"718,081","264,482","453,598","3,738,599","830,112","1,670,038"
2002Q2,2.5,3.9,3.2,6.3,5.8,3.2,1.7,4.5,5.4,6.8,4.8,123.6,140.9,"728,752","267,749","461,003","3,764,699","848,331","1,654,085"
2002Q3,1.6,3.6,0.5,2.6,5.7,2.2,1.6,3.4,4.5,6.3,4.8,126.7,143.5,"753,567","281,829","471,738","3,863,154","915,840","1,673,361"
2002Q4,0.5,2.8,2.5,4.4,5.9,2.4,1.3,3.1,4.3,6.1,4.5,129.3,149.5,"772,272","291,570","480,702","3,941,743","968,721","1,659,350"
2003Q1,2.1,4.1,0.1,3.2,5.9,4.2,1.2,2.9,4.2,5.8,4.3,131.9,155.1,"751,888","265,345","486,544","4,050,093","975,700","1,660,775"
2003Q2,3.6,5.1,4.6,5.0,6.1,-0.7,1.0,2.6,3.8,5.5,4.2,134.8,153.2,"763,944","269,861","494,083","4,119,293","1,052,512","1,650,948"
2003Q3,6.8,9.3,7.0,9.8,6.1,3.0,0.9,3.1,4.4,6.0,4.0,138.7,149.1,"772,341","266,610","505,731","4,159,056","1,005,330","1,632,337"
2003Q4,4.7,7.3,1.1,3.1,5.8,1.5,0.9,3.2,4.4,5.9,4.0,143.2,151.2,"848,172","339,266","508,906","4,193,137","1,026,038","1,601,076"
